grid_id,x_coord,y_coord,year,count_31,count_32,count_33,count_total,cluster_n,is_cluster,value_added_31,labor_total_31,wages_total_31,machinery_31,computers_31,value_added_32,labor_total_32,wages_total_32,machinery_32,computers_32,value_added_33,labor_total_33,wages_total_33,machinery_33,computers_33,dist_usa_km,dist_cdmx_km,dist_port_km
10,918792.0295,1961649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.1702427,2195.978497,1781.136603
10,918792.0295,1961649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.1702427,2195.978497,1781.136603
10,918792.0295,1961649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,417.1702427,2195.978497,1781.136603
10,918792.0295,1961649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.1702427,2195.978497,1781.136603
11,918792.0295,1966649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.5610082,2198.561455,1784.440763
11,918792.0295,1966649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.5610082,2198.561455,1784.440763
11,918792.0295,1966649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,412.5610082,2198.561455,1784.440763
11,918792.0295,1966649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.5610082,2198.561455,1784.440763
12,918792.0295,1971649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.960978,2201.152741,1787.7528
12,918792.0295,1971649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.960978,2201.152741,1787.7528
12,918792.0295,1971649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,407.960978,2201.152741,1787.7528
12,918792.0295,1971649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.960978,2201.152741,1787.7528
13,918792.0295,1976649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.3704671,2203.752324,1791.072671
13,918792.0295,1976649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.3704671,2203.752324,1791.072671
13,918792.0295,1976649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,403.3704671,2203.752324,1791.072671
13,918792.0295,1976649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.3704671,2203.752324,1791.072671
14,918792.0295,1981649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.789804,2206.360175,1794.400332
